judul,artist,file_audio,file_lirik,file_poster,tahun,genre 1,Era
Hampa,Ari Lasso,1,1,1,2003,Rock,2000'
Rahasia Perempuan,Ari Lasso,2,2,2,2003,Rock,2000'
Aku dan Dirimu,Ari Lasso,3,3,3,2008,Rock,2000'
Seandainya,Ari Lasso,4,4,4,2006,Rock,2000'
Perbedaaan,Ari Lasso,5,5,5,2001,Rock,2000'
Badai Pasti Berlalu,Ari Lasso,6,6,6,2007,Rock,2000'
Mana Kutahu,Ari Lasso,7,7,7,2007,Rock,2000'
Hasrat Sekejap,Ari Lasso,8,8,8,2003,Rock,2000'
Lirih,Ari Lasso,9,9,9,2006,Rock,2000'
Penjaga Hati,Ari Lasso,10,10,10,2001,Rock,2000'
Manusia Bodoh ,Ada Band,11,11,11,2004,Pop,2000'
Kau Auraku,Ada Band,12,12,12,2004,Pop,2000'
Setengah Hati,Ada Band,13,13,13,2004,Pop,2000'
Yang Terbaik Bagimu,Ada Band,14,14,14,2004,Pop,2000'
Langit Tujuh Bidadarai,Ada Band,15,15,15,2004,Pop,2000'
Haruskah kumati,Ada Band,16,16,16,2006,Pop,2000'
Manja,Ada Band,17,17,17,2003,Pop,2000'
Karena Wanita,Ada Band,18,18,18,2006,Pop,2000'
Jadikan aku Raja,Ada Band,19,19,19,2003,Pop,2000'
Baiknya,Ada Band,20,20,20,2008,Pop,2000'
Seberapa Pantas,Sheila On 7,21,21,21,2002,Rock,2000'
Buat Aku Tersenyum,Sheila On 7,22,22,22,2002,Rock,2000'
Berhenti Berharap,Sheila On 7,23,23,23,2003,Rock,2000'
Mudah Saja,Sheila On 7,24,24,24,2008,Rock,2000'
Itu Aku,Sheila On 7,25,25,25,2004,Rock,2000'
Pria Kesepian,Sheila On 7,26,26,26,2002,Rock,2000'
Pejantan Tangguh,Sheila On 7,27,27,27,2004,Rock,2000'
Kisah Klasik,Sheila On 7,28,28,28,2003,Rock,2000'
Melompat Lebih Tinggi,Sheila On 7,29,29,29,2003,Rock,2000'
Sahabat Sejati,Sheila On 7,30,30,30,2000,Rock,2000'
11 Januari,Gigi,31,31,31,2007,Rock,2000'
Ya Ya Ya,Gigi,32,32,32,2001,Rock,2000'
Cinta Terakhir,Gigi,33,33,33,2004,Rock,2000'
Kepastian yang kutunggu,Gigi,34,34,34,2006,Rock,2000'
Yang Telah Berlalu,Gigi,35,35,35,2002,Rock,2000'
Perihal Cinta,Gigi,36,36,36,2003,Rock,2000'
Andai,Gigi,37,37,37,2002,Rock,2000'
Sang Pemimpi,Gigi,38,38,38,2009,Rock,2000'
Nakal,Gigi,39,39,39,2007,Rock,2000'
Kembalilah Kasih,Gigi,40,40,40,2007,Rock,2000'
Laskar Pelangi,Nidji,41,41,41,2008,Pop,2000'
Hapus Aku,Nidji,42,42,42,2005,Pop,2000'
Arti Sahabat,Nidji,43,43,43,2007,Pop,2000'
Kau dan Aku,Nidji,44,44,44,2005,Pop,2000'
Jangan Lupakan,Nidji,45,45,45,2007,Pop,2000'
Biarlah,Nidji,46,46,46,2007,Pop,2000'
Sang Mantan,Nidji,47,47,47,2009,Pop,2000'
Sudah,Nidji,48,48,48,2005,Pop,2000'
Ku Takan Bisa,Nidji,49,49,49,2009,Pop,2000'
Bila Aku Jatuh Cinta,Nidji,50,50,50,2005,Pop,2000'
Akhir Cerita Cinta,Glenn Fredly,51,51,51,2002,Jazz,2000'
Kisah Romantis,Glenn Fredly,52,52,52,2005,Jazz,2000'
